Persona,Segment,Audience,BusinessUnit
Designer/Publisher,Workday Creatives,Creative Professionals,Creative Cloud
Video Pro,Workday Creatives,Creative Professionals,Creative Cloud
Pro Photographer,Workday Creatives,Creative Professionals,Creative Cloud
Artist/Illustrator,Workday Creatives,Creative Professionals,Creative Cloud
Marketer,Workday Creatives,Creative Professionals,Creative Cloud
Social Influencer,Workday Creatives,Creative Professionals,Creative Cloud
Small Business Owner,Workday Creatives,Creative Professionals,Creative Cloud
Designer (Multi-Media),Workday Creatives,Creative Professionals,Creative Cloud
Video Creator,Workday Creatives,Creative Professionals,Creative Cloud
Photographer,Workday Creatives,Creative Professionals,Creative Cloud
Artist,Workday Creatives,Creative Professionals,Creative Cloud
Designer/Publisher,Creative Climbers,Creative Professionals,Creative Cloud
Video Pro,Creative Climbers,Creative Professionals,Creative Cloud
Pro Photographer,Creative Climbers,Creative Professionals,Creative Cloud
Artist/Illustrator,Creative Climbers,Creative Professionals,Creative Cloud
Marketer,Creative Climbers,Creative Professionals,Creative Cloud
Social Influencer,Creative Climbers,Creative Professionals,Creative Cloud
Small Business Owner,Creative Climbers,Creative Professionals,Creative Cloud
Designer (Multi-Media),Creative Climbers,Creative Professionals,Creative Cloud
Video Creator,Creative Climbers,Creative Professionals,Creative Cloud
Photographer,Creative Climbers,Creative Professionals,Creative Cloud
Artist,Creative Climbers,Creative Professionals,Creative Cloud
Designer/Publisher,Savvy Communicators,Creative Communicators,Creative Cloud
Video Pro,Savvy Communicators,Creative Communicators,Creative Cloud
Pro Photographer,Savvy Communicators,Creative Communicators,Creative Cloud
Artist/Illustrator,Savvy Communicators,Creative Communicators,Creative Cloud
Marketer,Savvy Communicators,Creative Communicators,Creative Cloud
Social Influencer,Savvy Communicators,Creative Communicators,Creative Cloud
Small Business Owner,Savvy Communicators,Creative Communicators,Creative Cloud
Designer (Multi-Media),Savvy Communicators,Creative Communicators,Creative Cloud
Video Creator,Savvy Communicators,Creative Communicators,Creative Cloud
Photographer,Savvy Communicators,Creative Communicators,Creative Cloud
Artist,Savvy Communicators,Creative Communicators,Creative Cloud
Designer/Publisher,Practical Communicators,Creative Communicators,Creative Cloud
Video Pro,Practical Communicators,Creative Communicators,Creative Cloud
Pro Photographer,Practical Communicators,Creative Communicators,Creative Cloud
Artist/Illustrator,Practical Communicators,Creative Communicators,Creative Cloud
Marketer,Practical Communicators,Creative Communicators,Creative Cloud
Social Influencer,Practical Communicators,Creative Communicators,Creative Cloud
Small Business Owner,Practical Communicators,Creative Communicators,Creative Cloud
Designer (Multi-Media),Practical Communicators,Creative Communicators,Creative Cloud
Video Creator,Practical Communicators,Creative Communicators,Creative Cloud
Photographer,Practical Communicators,Creative Communicators,Creative Cloud
Artist,Practical Communicators,Creative Communicators,Creative Cloud
Designer/Publisher,Hobbyists,Creative Consumers,Creative Cloud
Video Pro,Hobbyists,Creative Consumers,Creative Cloud
Pro Photographer,Hobbyists,Creative Consumers,Creative Cloud
Artist/Illustrator,Hobbyists,Creative Consumers,Creative Cloud
Marketer,Hobbyists,Creative Consumers,Creative Cloud
Social Influencer,Hobbyists,Creative Consumers,Creative Cloud
Small Business Owner,Hobbyists,Creative Consumers,Creative Cloud
Designer (Multi-Media),Hobbyists,Creative Consumers,Creative Cloud
Video Creator,Hobbyists,Creative Consumers,Creative Cloud
Photographer,Hobbyists,Creative Consumers,Creative Cloud
Artist,Hobbyists,Creative Consumers,Creative Cloud
Designer/Publisher,Social Natives,Creative Consumers,Creative Cloud
Video Pro,Social Natives,Creative Consumers,Creative Cloud
Pro Photographer,Social Natives,Creative Consumers,Creative Cloud
Artist/Illustrator,Social Natives,Creative Consumers,Creative Cloud
Marketer,Social Natives,Creative Consumers,Creative Cloud
Social Influencer,Social Natives,Creative Consumers,Creative Cloud
Small Business Owner,Social Natives,Creative Consumers,Creative Cloud
Designer (Multi-Media),Social Natives,Creative Consumers,Creative Cloud
Video Creator,Social Natives,Creative Consumers,Creative Cloud
Photographer,Social Natives,Creative Consumers,Creative Cloud
Artist,Social Natives,Creative Consumers,Creative Cloud
Designer/Publisher,Simple Sharers,Creative Consumers,Creative Cloud
Video Pro,Simple Sharers,Creative Consumers,Creative Cloud
Pro Photographer,Simple Sharers,Creative Consumers,Creative Cloud
Artist/Illustrator,Simple Sharers,Creative Consumers,Creative Cloud
Marketer,Simple Sharers,Creative Consumers,Creative Cloud
Social Influencer,Simple Sharers,Creative Consumers,Creative Cloud
Small Business Owner,Simple Sharers,Creative Consumers,Creative Cloud
Designer (Multi-Media),Simple Sharers,Creative Consumers,Creative Cloud
Video Creator,Simple Sharers,Creative Consumers,Creative Cloud
Photographer,Simple Sharers,Creative Consumers,Creative Cloud
Artist,Simple Sharers,Creative Consumers,Creative Cloud
Designer/Publisher,Core HED Students,Students,EDU
Video Pro,Core HED Students,Students,EDU
Pro Photographer,Core HED Students,Students,EDU
Artist/Illustrator,Core HED Students,Students,EDU
Marketer,Core HED Students,Students,EDU
Social Influencer,Core HED Students,Students,EDU
Small Business Owner,Core HED Students,Students,EDU
Designer (Multi-Media),Core HED Students,Students,EDU
Video Creator,Core HED Students,Students,EDU
Photographer,Core HED Students,Students,EDU
Artist,Core HED Students,Students,EDU
Designer/Publisher,Non-Core HED Students,Students,EDU
Video Pro,Non-Core HED Students,Students,EDU
Pro Photographer,Non-Core HED Students,Students,EDU
Artist/Illustrator,Non-Core HED Students,Students,EDU
Marketer,Non-Core HED Students,Students,EDU
Social Influencer,Non-Core HED Students,Students,EDU
Small Business Owner,Non-Core HED Students,Students,EDU
Designer (Multi-Media),Non-Core HED Students,Students,EDU
Video Creator,Non-Core HED Students,Students,EDU
Photographer,Non-Core HED Students,Students,EDU
Artist,Non-Core HED Students,Students,EDU
Designer/Publisher,Mid-Market / Entrepreneur Decision-Makers,Business Decision-Makers,Document Cloud
Video Pro,Mid-Market / Entrepreneur Decision-Makers,Business Decision-Makers,Document Cloud
Pro Photographer,Mid-Market / Entrepreneur Decision-Makers,Business Decision-Makers,Document Cloud
Artist/Illustrator,Mid-Market / Entrepreneur Decision-Makers,Business Decision-Makers,Document Cloud
Marketer,Mid-Market / Entrepreneur Decision-Makers,Business Decision-Makers,Document Cloud
Social Influencer,Mid-Market / Entrepreneur Decision-Makers,Business Decision-Makers,Document Cloud
Small Business Owner,Mid-Market / Entrepreneur Decision-Makers,Business Decision-Makers,Document Cloud
Designer (Multi-Media),Mid-Market / Entrepreneur Decision-Makers,Business Decision-Makers,Document Cloud
Video Creator,Mid-Market / Entrepreneur Decision-Makers,Business Decision-Makers,Document Cloud
Photographer,Mid-Market / Entrepreneur Decision-Makers,Business Decision-Makers,Document Cloud
Artist,Mid-Market / Entrepreneur Decision-Makers,Business Decision-Makers,Document Cloud
Other,Working Parents,Individual,Creative Cloud
Other,Working Professionals,Individual,Creative Cloud
Other,Micro Entreneurs,Individual,Creative Cloud