Name,Source,Type,Campaign,Program,Project,Deliverable,Experience,launchStart,launchEnd,CreatedAt,CreatedBy
Creative Pro Journey_NA,Adobe Journey Optimizer,Journey,Photography_Your Shot Your Story_FY22,"Photography_Your Shot Your Story_Awareness_NA,Photography_Your Shot Your Story_Consideration_NA",Your Shot Your Story_LCM NA Experiences,,,2021-12-16,2022-02-28,2021-11-03T18:40:32.142+0100,Craig Mathis
Student Journey_NA,Adobe Journey Optimizer,Journey,Photography_Your Shot Your Story_FY22,"Photography_Your Shot Your Story_Awareness_NA,Photography_Your Shot Your Story_Consideration_NA",Your Shot Your Story_LCM NA Experiences,,,2021-12-16,2022-02-28,2021-11-03T18:40:32.142+0100,Craig Mathis
Student_Journey_Non-NA,Adobe Journey Optimizer,Journey,Photography_Your Shot Your Story_FY22,"Photography_Your Shot Your Story_Awareness_JP,Photography_Your Shot Your Story_Consideration_EMEA,Photography_Your Shot Your Story_Consideration_JP,Photography_Your Shot Your Story_Consideration_APAC,Photography_Your Shot Your Story_Engagement_EMEA",Your Shot Your Story_LCM Experiences,,,2021-12-16,2022-02-28,2021-11-03T18:40:32.142+0100,Craig Mathis
Student Offer Message_YSYS_Email Action,Adobe Journey Optimizer,Email,Photography_Your Shot Your Story_FY22,"Photography_Your Shot Your Story_Awareness_NA,Photography_Your Shot Your Story_Consideration_NA",Your Shot Your Story_LCM NA Experiences,"image_asset_123,image_asset_456,CC_Photoshop_10Percent",launchEnd,2021-12-16,2022-02-28,2021-11-03T18:40:32.142+0100,Phoebe Atkins
Pro Offer Message_YSYS_Email Action,Adobe Journey Optimizer,Email,Photography_Your Shot Your Story_FY22,"Photography_Your Shot Your Story_Awareness_NA,Photography_Your Shot Your Story_Consideration_NA",Your Shot Your Story_LCM NA Experiences,"image_asset_def,video_asset_hij,CC_Photoshop_10Percent",Creative Pro Journey_NA,2021-12-16,2022-02-28,2021-11-03T18:40:32.142+0100,Phoebe Atkins
CCExpress_YSYS_MobilePush_Action,Adobe Journey Optimizer,Mobile Push,Photography_Your Shot Your Story_FY22,"Photography_Your Shot Your Story_Awareness_NA,Photography_Your Shot Your Story_Consideration_NA",Your Shot Your Story_LCM NA Experiences,,Creative Pro Journey_NA,2021-12-16,2022-02-28,2021-11-03T18:40:32.142+0100,Phoebe Atkins
Your Shot Your Story_Holiday Email,Adobe Journey Optimizer,Email,Photography_Your Shot Your Story_FY22,"Photography_Your Shot Your Story_Awareness_NA,Photography_Your Shot Your Story_Consideration_NA",Your Shot Your Story_LCM NA Experiences,"CC_for_Photographers_offer_123,video_asset_789,creatives_students_NA,creatives_pros_NA",,2021-12-25,2021-12-30,2021-11-03T18:40:32.142+0100,Phoebe Atkins
YSYS_A.com_Landing Page,Adobe Experience Manager Sites,Web,Photography_Your Shot Your Story_FY22,,Your Shot Your Story_LCM NA Experiences,"image_asset_123,image_asset_456,video_asset_789",,2022-01-02,2022-02-28,2021-11-03T18:40:32.142+0100,Stephen Gould
YSYS_Blog_Article,Adobe Experience Manager Sites,Web,Photography_Your Shot Your Story_FY22,,Your Shot Your Story_LCM NA Experiences,"image_asset_123,video_asset_789",,2021-12-15,2022-02-28,2021-11-03T18:40:32.142+0100,Stephen Gould
YSYS_A.com CCHome_BannerOptimization,Adobe Target,Web,Photography_Your Shot Your Story_FY22,,Your Shot Your Story_LCM NA Experiences,image_asset_123,YSYS_A.com_Landing Page,2022-01-28,2022-02-28,2021-11-03T18:40:32.142+0100,Stephen Gould
YSYS_Facebook_Photoshop_Post_1,Hootsuite,Social Post,Photography_Your Shot Your Story_FY22,Photography_Your Shot Your Story_Awareness_NA,Social Marketing Delivery_YourShotYourStory FY22,image_asset_123,,2021-12-16,2021-12-16,2021-11-03T18:40:32.142+0100,Chase Butterfield
YSYS_Facebook_Photoshop_Post_2,Hootsuite,Social Post,Photography_Your Shot Your Story_FY22,Photography_Your Shot Your Story_Awareness_NA,Social Marketing Delivery_YourShotYourStory FY22,image_asset_456,,2021-12-16,2021-12-16,2021-11-03T18:40:32.142+0100,Chase Butterfield
YSYS_Facebook_Photoshop_Post_3,Hootsuite,Social Post,Photography_Your Shot Your Story_FY22,Photography_Your Shot Your Story_Awareness_NA,Social Marketing Delivery_YourShotYourStory FY22,video_asset_789,,2021-12-17,2021-12-17,2021-11-03T18:40:32.142+0100,Chase Butterfield
YSYS_Facebook_Photoshop_Post_4,Hootsuite,Social Post,Photography_Your Shot Your Story_FY22,Photography_Your Shot Your Story_Awareness_NA,Social Marketing Delivery_YourShotYourStory FY22,image_asset_abc,,2021-12-17,2021-12-17,2021-11-03T18:40:32.142+0100,Vazgen Babayan
YSYS_Facebook_Photoshop_Post_5,Hootsuite,Social Post,Photography_Your Shot Your Story_FY22,Photography_Your Shot Your Story_Awareness_NA,Social Marketing Delivery_YourShotYourStory FY22,image_asset_def,,2021-12-17,2021-12-17,2021-11-03T18:40:32.142+0100,Vazgen Babayan
YSYS_Facebook_Photoshop_Post_6,Hootsuite,Social Post,Photography_Your Shot Your Story_FY22,Photography_Your Shot Your Story_Awareness_NA,Social Marketing Delivery_YourShotYourStory FY22,video_asset_hij,,2021-12-19,2021-12-19,2021-11-03T18:40:32.142+0100,Vazgen Babayan
YSYS_Facebook_Photoshop_Post_7,Hootsuite,Social Post,Photography_Your Shot Your Story_FY22,Photography_Your Shot Your Story_Awareness_NA,Social Marketing Delivery_YourShotYourStory FY22,image_asset_123,,2022-01-10,2022-01-10,2021-11-03T18:40:32.142+0100,Vazgen Babayan
YSYS_Facebook_Photoshop_Post_8,Hootsuite,Social Post,Photography_Your Shot Your Story_FY22,"Photography_Your Shot Your Story_Awareness_NA,Photography_Your Shot Your Story_Consideration_NA",Social Marketing Delivery_YourShotYourStory FY22,image_asset_456,,2022-01-13,2022-01-13,2021-11-03T18:40:32.142+0100,Vazgen Babayan
YSYS_Facebook_Photoshop_Post_9,Hootsuite,Social Post,Photography_Your Shot Your Story_FY22,"Photography_Your Shot Your Story_Awareness_NA,Photography_Your Shot Your Story_Consideration_NA",Social Marketing Delivery_YourShotYourStory FY22,video_asset_789,,2022-01-14,2022-01-14,2021-11-03T18:40:32.142+0100,Chase Butterfield
YSYS_Facebook_Photoshop_Post_10,Hootsuite,Social Post,Photography_Your Shot Your Story_FY22,"Photography_Your Shot Your Story_Awareness_NA,Photography_Your Shot Your Story_Consideration_NA",Social Marketing Delivery_YourShotYourStory FY22,image_asset_abc,,2022-01-18,2022-01-18,2021-11-03T18:40:32.142+0100,Chase Butterfield
YSYS_Twitter_Photoshop_Post_1,Hootsuite,Social Post,Photography_Your Shot Your Story_FY22,"Photography_Your Shot Your Story_Awareness_NA,Photography_Your Shot Your Story_Consideration_NA",Social Marketing Delivery_YourShotYourStory FY22,image_asset_def,,2021-12-16,2021-12-16,2021-11-03T18:40:32.142+0100,Chase Butterfield
YSYS_Twitter_Photoshop_Post_2,Hootsuite,Social Post,Photography_Your Shot Your Story_FY22,"Photography_Your Shot Your Story_Awareness_NA,Photography_Your Shot Your Story_Consideration_NA",Social Marketing Delivery_YourShotYourStory FY22,video_asset_hij,,2021-12-16,2021-12-16,2021-11-03T18:40:32.142+0100,Vazgen Babayan
YSYS_Twitter_Photoshop_Post_3,Hootsuite,Social Post,Photography_Your Shot Your Story_FY22,"Photography_Your Shot Your Story_Awareness_NA,Photography_Your Shot Your Story_Consideration_NA",Social Marketing Delivery_YourShotYourStory FY22,image_asset_123,,2021-12-17,2021-12-17,2021-11-03T18:40:32.142+0100,Vazgen Babayan
YSYS_Twitter_Photoshop_Post_4,Hootsuite,Social Post,Photography_Your Shot Your Story_FY22,"Photography_Your Shot Your Story_Awareness_NA,Photography_Your Shot Your Story_Consideration_NA",Social Marketing Delivery_YourShotYourStory FY22,image_asset_456,,2021-12-17,2021-12-17,2021-11-03T18:40:32.142+0100,Chase Butterfield
YSYS_Twitter_Photoshop_Post_5,Hootsuite,Social Post,Photography_Your Shot Your Story_FY22,"Photography_Your Shot Your Story_Awareness_NA,Photography_Your Shot Your Story_Consideration_NA",Social Marketing Delivery_YourShotYourStory FY22,video_asset_789,,2021-12-17,2021-12-17,2021-11-03T18:40:32.142+0100,Chase Butterfield
YSYS_Twitter_Photoshop_Post_6,Hootsuite,Social Post,Photography_Your Shot Your Story_FY22,"Photography_Your Shot Your Story_Awareness_NA,Photography_Your Shot Your Story_Consideration_NA",Social Marketing Delivery_YourShotYourStory FY22,image_asset_abc,,2021-12-19,2021-12-19,2021-11-03T18:40:32.142+0100,Chase Butterfield
YSYS_Twitter_Photoshop_Post_7,Hootsuite,Social Post,Photography_Your Shot Your Story_FY22,"Photography_Your Shot Your Story_Awareness_NA,Photography_Your Shot Your Story_Consideration_NA",Social Marketing Delivery_YourShotYourStory FY22,image_asset_def,,2022-01-10,2022-01-10,2021-11-03T18:40:32.142+0100,Vazgen Babayan
YSYS_Twitter_Photoshop_Post_8,Hootsuite,Social Post,Photography_Your Shot Your Story_FY22,"Photography_Your Shot Your Story_Awareness_NA,Photography_Your Shot Your Story_Consideration_NA",Social Marketing Delivery_YourShotYourStory FY22,video_asset_hij,,2022-01-13,2022-01-13,2021-11-03T18:40:32.142+0100,Vazgen Babayan
YSYS_Twitter_Photoshop_Post_9,Hootsuite,Social Post,Photography_Your Shot Your Story_FY22,"Photography_Your Shot Your Story_Awareness_NA,Photography_Your Shot Your Story_Consideration_NA",Social Marketing Delivery_YourShotYourStory FY22,image_asset_123,,2022-01-14,2022-01-14,2021-11-03T18:40:32.142+0100,Vazgen Babayan
YSYS_Twitter_Photoshop_Post_10,Hootsuite,Social Post,Photography_Your Shot Your Story_FY22,"Photography_Your Shot Your Story_Awareness_NA,Photography_Your Shot Your Story_Consideration_NA",Social Marketing Delivery_YourShotYourStory FY22,image_asset_456,,2022-01-15,2022-01-15,2021-11-03T18:40:32.142+0100,Vazgen Babayan
YSYS_Facebook_Photoshop_Post_JP_1,Facebook,Social Post,Photography_Your Shot Your Story_FY22,Photography_Your Shot Your Story_Awareness_NA,Japan Social Channel Experiences_YourShotYourStory FY22,,,2021-12-16,2021-12-16,2021-11-03T18:40:32.142+0100,Vazgen Babayan
YSYS_Facebook_Photoshop_Post_JP_2,Facebook,Social Post,Photography_Your Shot Your Story_FY22,Photography_Your Shot Your Story_Awareness_NA,Japan Social Channel Experiences_YourShotYourStory FY22,,,2021-12-16,2021-12-16,2021-11-03T18:40:32.142+0100,Vazgen Babayan
YSYS_Facebook_Photoshop_Post_JP_3,Facebook,Social Post,Photography_Your Shot Your Story_FY22,Photography_Your Shot Your Story_Awareness_NA,Japan Social Channel Experiences_YourShotYourStory FY22,,,2021-12-17,2021-12-17,2021-11-03T18:40:32.142+0100,Vazgen Babayan
YSYS_Facebook_Photoshop_Post_JP_4,Facebook,Social Post,Photography_Your Shot Your Story_FY22,Photography_Your Shot Your Story_Awareness_NA,Japan Social Channel Experiences_YourShotYourStory FY22,,,2021-12-17,2021-12-17,2021-11-03T18:40:32.142+0100,Vazgen Babayan
YSYS_Facebook_Photoshop_Post_JP_5,Facebook,Social Post,Photography_Your Shot Your Story_FY22,Photography_Your Shot Your Story_Awareness_NA,Japan Social Channel Experiences_YourShotYourStory FY22,,,2021-12-17,2021-12-17,2021-11-03T18:40:32.142+0100,Vazgen Babayan
YSYS_Facebook_Photoshop_Post_JP_6,Facebook,Social Post,Photography_Your Shot Your Story_FY22,Photography_Your Shot Your Story_Awareness_NA,Japan Social Channel Experiences_YourShotYourStory FY22,,,2021-12-19,2021-12-19,2021-11-03T18:40:32.142+0100,Vazgen Babayan
YSYS_Facebook_Photoshop_Post_JP_7,Facebook,Social Post,Photography_Your Shot Your Story_FY22,Photography_Your Shot Your Story_Awareness_NA,Japan Social Channel Experiences_YourShotYourStory FY22,,,2022-01-10,2022-01-10,2021-11-03T18:40:32.142+0100,Vazgen Babayan
YSYS_Facebook_Photoshop_Post_JP_8,Facebook,Social Post,Photography_Your Shot Your Story_FY22,Photography_Your Shot Your Story_Awareness_NA,Japan Social Channel Experiences_YourShotYourStory FY22,,,2022-01-13,2022-01-13,2021-11-03T18:40:32.142+0100,Vazgen Babayan
YSYS_Facebook_Photoshop_Post_JP_9,Facebook,Social Post,Photography_Your Shot Your Story_FY22,Photography_Your Shot Your Story_Awareness_NA,Japan Social Channel Experiences_YourShotYourStory FY22,,,2022-01-14,2022-01-14,2021-11-03T18:40:32.142+0100,Vazgen Babayan
YSYS_Facebook_Photoshop_Post_JP_10,Facebook,Social Post,Photography_Your Shot Your Story_FY22,Photography_Your Shot Your Story_Awareness_NA,Japan Social Channel Experiences_YourShotYourStory FY22,,,2022-01-18,2022-01-18,2021-11-03T18:40:32.142+0100,Vazgen Babayan
YSYS_Twitter_Photoshop_Post_JP_1,Twitter,Social Post,Photography_Your Shot Your Story_FY22,"Photography_Your Shot Your Story_Awareness_NA,Photography_Your Shot Your Story_Consideration_NA",Japan Social Channel Experiences_YourShotYourStory FY22,,,2021-12-16,2021-12-16,2021-11-03T18:40:32.142+0100,Vazgen Babayan
YSYS_Twitter_Photoshop_Post_JP_2,Twitter,Social Post,Photography_Your Shot Your Story_FY22,"Photography_Your Shot Your Story_Awareness_NA,Photography_Your Shot Your Story_Consideration_NA",Japan Social Channel Experiences_YourShotYourStory FY22,,,2021-12-16,2021-12-16,2021-11-03T18:40:32.142+0100,Vazgen Babayan
YSYS_Twitter_Photoshop_Post_JP_3,Twitter,Social Post,Photography_Your Shot Your Story_FY22,"Photography_Your Shot Your Story_Awareness_NA,Photography_Your Shot Your Story_Consideration_NA",Japan Social Channel Experiences_YourShotYourStory FY22,,,2021-12-17,2021-12-17,2021-11-03T18:40:32.142+0100,Vazgen Babayan
YSYS_Twitter_Photoshop_Post_JP_4,Twitter,Social Post,Photography_Your Shot Your Story_FY22,"Photography_Your Shot Your Story_Awareness_NA,Photography_Your Shot Your Story_Consideration_NA",Japan Social Channel Experiences_YourShotYourStory FY22,,,2021-12-17,2021-12-17,2021-11-03T18:40:32.142+0100,Vazgen Babayan
YSYS_Twitter_Photoshop_Post_JP_5,Twitter,Social Post,Photography_Your Shot Your Story_FY22,"Photography_Your Shot Your Story_Awareness_NA,Photography_Your Shot Your Story_Consideration_NA",Japan Social Channel Experiences_YourShotYourStory FY22,,,2021-12-17,2021-12-17,2021-11-03T18:40:32.142+0100,Vazgen Babayan
YSYS_Twitter_Photoshop_Post_JP_6,Twitter,Social Post,Photography_Your Shot Your Story_FY22,"Photography_Your Shot Your Story_Awareness_NA,Photography_Your Shot Your Story_Consideration_NA",Japan Social Channel Experiences_YourShotYourStory FY22,,,2021-12-19,2021-12-19,2021-11-03T18:40:32.142+0100,Vazgen Babayan
YSYS_Twitter_Photoshop_Post_JP_7,Twitter,Social Post,Photography_Your Shot Your Story_FY22,"Photography_Your Shot Your Story_Awareness_NA,Photography_Your Shot Your Story_Consideration_NA",Japan Social Channel Experiences_YourShotYourStory FY22,,,2022-01-10,2022-01-10,2021-11-03T18:40:32.142+0100,Vazgen Babayan
YSYS_Twitter_Photoshop_Post_JP_8,Twitter,Social Post,Photography_Your Shot Your Story_FY22,"Photography_Your Shot Your Story_Awareness_NA,Photography_Your Shot Your Story_Consideration_NA",Japan Social Channel Experiences_YourShotYourStory FY22,,,2022-01-13,2022-01-13,2021-11-03T18:40:32.142+0100,Vazgen Babayan
YSYS_Twitter_Photoshop_Post_JP_9,Twitter,Social Post,Photography_Your Shot Your Story_FY22,"Photography_Your Shot Your Story_Awareness_NA,Photography_Your Shot Your Story_Consideration_NA",Japan Social Channel Experiences_YourShotYourStory FY22,,,2022-01-14,2022-01-14,2021-11-03T18:40:32.142+0100,Vazgen Babayan
YSYS_Twitter_Photoshop_Post_JP_10,Twitter,Social Post,Photography_Your Shot Your Story_FY22,"Photography_Your Shot Your Story_Awareness_NA,Photography_Your Shot Your Story_Consideration_NA",Japan Social Channel Experiences_YourShotYourStory FY22,,,2022-01-15,2022-01-15,2021-11-03T18:40:32.142+0100,Vazgen Babayan