ProgramName,Program,Source,Geo,MarketArea,LOB,createdAt,OwnedBy,CreatedBy,DDOMStage,MarketingObjective,MarketingChannelTypes,LaunchDate,EndDate,Status,ProductOffering,Category,SubCategory,Audience,Segment,Persona,UserStatus,Language,Campaign,CampaignfromCampaign
Adobe Brand_Sports Marketing_Golden State Warriors,Golden State Warriors,Adobe Workfront,NA,US,Brand,2021-09-01T18:40:32.142+0100,Kris Casquero,Kris Casquero,,,,2022-01-10,2022-03-04,Complete,Adobe Brand,Brand,Global Sports Marketing,Business Decision-Maker,,,,English,Adobe Brand_Sports Marketing_FY22,Sports Marketing
Adobe Brand_Sports Marketing_MLB,MLB,Adobe Workfront,NA,US,Brand,2021-09-01T18:40:32.142+0101,Kris Casquero,Kris Casquero,,,,2022-01-10,2022-03-04,Complete,Adobe Brand,Brand,Global Sports Marketing,Business Decision-Maker,,,,English,Adobe Brand_Sports Marketing_FY22,Sports Marketing
Adobe Brand_Sports Marketing_Peaceful Warriors,Peaceful Warriors,Adobe Workfront,NA,US,Brand,2021-09-01T18:40:32.142+0102,Kris Casquero,Kris Casquero,Discover,Engagement & Retention,Owned Organic Social,2022-01-03,2022-03-04,Complete,Adobe Brand,Brand,Global Sports Marketing,,,,,English,Adobe Brand_Sports Marketing_FY22,Sports Marketing
Adobe Brand_Sports Marketing_PGA Tour,PGA Tour,Adobe Workfront,NA,US,Brand,2021-09-01T18:40:32.142+0103,Kris Casquero,Kris Casquero,,,,2022-01-10,2022-03-04,Complete,Adobe Brand,Brand,Global Sports Marketing,Business Decision-Maker,,,,English,Adobe Brand_Sports Marketing_FY22,Sports Marketing
Adobe Brand_Sports Marketing_San Francisco 49ers,San Francisco 49ers,Adobe Workfront,NA,US,Brand,2021-09-01T18:40:32.142+0104,Kris Casquero,Kris Casquero,,,,2022-01-10,2022-03-04,Complete,Adobe Brand,Brand,Global Sports Marketing,Business Decision-Maker,,,,English,Adobe Brand_Sports Marketing_FY22,Sports Marketing
Adobe Brand_Sports Marketing_San Jose Earthquakes,San Jose Earthquakes,Adobe Workfront,NA,US,Brand,2021-09-01T18:40:32.142+0105,Kris Casquero,Kris Casquero,,,,2022-01-10,2022-03-04,Complete,Adobe Brand,Brand,Global Sports Marketing,Business Decision-Maker,,,,English,Adobe Brand_Sports Marketing_FY22,Sports Marketing
Adobe Brand_Sports Marketing_San Jose Sharks Partnership,San Jose Sharks Partnership,Adobe Workfront,NA,US,Brand,2021-09-01T18:40:32.142+0106,Kris Casquero,Kris Casquero,Discover,,Owned Organic Social,2022-05-01,2022-06-03,Complete,Adobe Brand,Brand,Global Sports Marketing,Business Decision-Maker,,,,English,Adobe Brand_Sports Marketing_FY22,Sports Marketing
Photography_Your Shot Your Story_Awareness_JP,Awareness,Adobe Workfront,JAPAN,JPN,CC,2021-09-01T18:40:32.142+0107,Andy Watanabe,Andy Watanabe,Discover,Demand Creation,"Display,Paid Social",2021-09-04,2021-12-03,Complete,Lightroom CC,Professional Creativity,Photography,Creative Consumers,"Social Natives,Hobbyists","Photographer,Social Photo Creative",Non Adobe Users,Japanese,Photography_Your Shot Your Story_FY22,Your Shot Your Story
Photography_Your Shot Your Story_Awareness_NA,Awareness,Adobe Workfront,NA,US,CC,2021-09-01T18:40:32.142+0108,Andy Watanabe,Andy Watanabe,Discover,Demand Creation,"Display,OLV",2021-12-04,2022-02-04,Complete,"Lightroom Desktop,Lightroom Mobile",Professional Creativity,Photography,Creative Consumers,Hobbyists,"Photographer,Social Photo Creative",Non Adobe Users,English,Photography_Your Shot Your Story_FY22,Your Shot Your Story
Photography_Your Shot Your Story_Consideration_EMEA,Consideration,Adobe Workfront,EMEA,"UK,GER,FRA",CC,2021-09-01T18:40:32.142+0109,Andy Watanabe,Andy Watanabe,"Try/Nurture,Discover,Use",Demand Creation,"Display,Paid Search,Paid Social",2021-03-08,2021-06-04,Complete,"Lightroom Desktop,Lightroom Mobile",Professional Creativity,Photography,Creative Professionals,"Hobbyists,Creative Climbers",,,"English (UK),Italian,Spanish,German,French",Photography_Your Shot Your Story_FY22,Your Shot Your Story
Photography_Your Shot Your Story_Consideration_NA,Consideration,Adobe Workfront,NA,US,CC,2021-09-01T18:40:32.142+0110,Andy Watanabe,Andy Watanabe,Try/Nurture,Consideration,"Display,OLV,Landing Page,Paid Social,Influencer Paid",2021-12-04,2022-02-04,Complete,"Lightroom Desktop,Lightroom Mobile",Professional Creativity,Photography,Creative Consumers,Hobbyists,"Photographer,Social Photo Creative",Non Adobe Users,English,Photography_Your Shot Your Story_FY22,Your Shot Your Story
Photography_Your Shot Your Story_Consideration_JP,Consideration,Adobe Workfront,JAPAN,JPN,CC,2021-09-01T18:40:32.142+0111,Andy Watanabe,Andy Watanabe,"Discover,Try/Nurture","Demand Creation,Consideration",Display,2021-06-07,2021-09-03,Complete,"Lightroom Desktop,Lightroom Mobile",Professional Creativity,Photography,"Creative Communicators,Creative Consumers","Social Natives,Hobbyists",Photographer,,Japanese,Photography_Your Shot Your Story_FY22,Your Shot Your Story
Photography_Your Shot Your Story_Consideration_APAC,Consideration,Adobe Workfront,APAC,"ANZ,HKT",CC,2021-09-01T18:40:32.142+0112,Andy Watanabe,Andy Watanabe,Discover,"Demand Creation,Consideration","Paid Social,Display",2022-09-05,2022-12-02,In Market,"Lightroom Desktop,Lightroom Mobile",Professional Creativity,Photography,Creative Consumers,"Social Natives,Hobbyists",Photographer,Non Adobe Users,"English,Traditional Chinese,Korean",Photography_Your Shot Your Story_FY22,Your Shot Your Story
Photography_Your Shot Your Story_Engagement_EMEA,Engagement,Adobe Workfront,EMEA,"UK,GER,FRA",CC,2021-09-01T18:40:32.142+0113,Andy Watanabe,Andy Watanabe,Use,Engagement & Retention,Email,2021-12-05,2022-03-04,Complete,"Lightroom Desktop,Lightroom Mobile,Lightroom CC,Photoshop",Professional Creativity,Photography,Creative Consumers,Hobbyists,Photographer,Existing Paid Users,"English (UK),Italian,Spanish,German,French,Arabic,Dutch,Portuguese,Russian,Swedish",Photography_Your Shot Your Story_FY22,Your Shot Your Story
Creative Cloud_MAX 2021_Post MAX,Post MAX,Adobe Workfront,EMEA,"EE,BEN,FRA,IBE,UK,NORD,GER,ITA",CC,2021-09-01T18:40:32.142+0114,Brent Rudewick,Brent Rudewick,,,,2022-10-01,2022-12-02,In Market,"CCI,CCT,Acrobat Sign,Acrobat,Stock",,,,,,Non Adobe Users,,Creative Cloud_MAX,MAX
Creative Cloud_MAX_MAX Event Marketing,MAX Event Marketing,Adobe Workfront,APAC,,CC,2021-09-01T18:40:32.142+0115,Brent Rudewick,Brent Rudewick,,Demand Creation,,2022-10-01,2022-12-02,In Market,,,,,,,,,Creative Cloud_MAX,MAX
Creative Cloud_MAX_MAX Release,MAX Release,Adobe Workfront,EMEA,,CC,2021-09-01T18:40:32.142+0116,Brent Rudewick,Brent Rudewick,"Use,Try/Nurture","Acquisition,Engagement & Retention,Consideration","Display,Email,Paid Social,Partner / Affiliate,PR,In-Product,Paid Search,Landing Page",2022-10-01,2022-11-30,In Market,CCI,,,,,,,,Creative Cloud_MAX,MAX